,y_yes
9386,0
22358,0
30723,1
34808,0
36283,0
6928,0
3274,0
23754,0
4594,0
35359,0
11623,0
15590,0
30977,1
26476,0
21829,0
18009,0
20625,0
12099,0
4486,0
17634,0
15707,0
19684,0
13487,0
12048,0
10176,0
11609,0
14279,0
1071,0
6325,0
30057,0
25628,0
34146,0
38386,1
4082,0
64,0
36530,0
5032,0
16744,0
5757,0
4543,0
31701,0
3848,0
27698,1
37985,0
2023,0
38901,1
25845,0
40529,0
11879,0
15041,0
34172,0
28788,0
30721,1
23888,0
11487,0
39353,0
23801,0
29438,0
7446,0
4341,0
8715,0
34836,0
6716,0
8800,0
30592,0
11536,0
28663,0
8342,0
17744,0
14183,0
35878,0
19032,0
23525,0
36407,1
11436,0
35991,0
31761,0
5322,0
38869,0
33225,0
18265,0
31012,0
1689,0
25599,0
6021,0
17718,0
13753,0
2190,0
26130,0
37023,0
3766,0
9463,0
30599,1
25771,0
14026,0
36007,0
17117,0
19577,0
37521,0
36084,0
7611,0
12573,0
34376,0
17597,0
20270,0
27503,0
778,0
2116,0
5331,0
21378,0
33787,0
34996,1
30192,0
23082,0
28087,0
34244,0
34483,0
9656,0
11772,0
9925,0
24231,0
2040,0
39388,1
16616,0
35208,0
10252,0
16889,0
21561,0
45,0
32507,0
9914,1
2418,0
26898,0
8507,0
22409,0
1879,0
4255,0
21305,0
30319,1
40518,0
1237,0
9786,0
20974,0
39733,1
27383,0
25055,0
9770,0
34595,0
4039,0
40291,1
32781,0
23451,0
28527,0
7402,0
29678,0
1606,0
16297,0
17986,0
10809,0
40419,1
17440,0
25295,0
37598,0
27243,0
40252,0
10034,1
6872,0
10427,0
16530,0
2421,1
10326,0
32571,0
29751,0
27868,1
11462,0
39969,1
18721,0
37889,0
19683,0
30509,0
15652,0
38302,0
36388,0
21950,1
11474,0
4174,0
39317,0
1346,0
24015,1
18868,0
35084,0
39921,0
14559,0
22928,0
27408,1
7600,0
35870,0
23176,0
6749,0
10060,0
3239,0
23990,0
35849,0
3388,0
27915,0
1454,0
37348,0
6577,0
16309,0
11655,0
24474,0
23785,0
8138,0
18236,0
4925,0
3581,0
2262,0
2475,0
3105,0
34608,0
41166,1
15014,0
2278,0
31502,0
18437,0
15205,0
27166,0
16354,0
20972,0
8938,0
17533,0
14824,0
9123,0
24578,0
254,0
38121,0
32213,0
30852,0
38321,1
23136,0
18083,0
28494,0
6611,0
36278,1
10927,0
23909,0
8620,0
29772,0
12545,0
19390,0
8954,0
37147,1
25312,0
4776,0
15039,0
36939,1
40772,0
21887,0
8939,0
11154,0
9678,0
5874,0
26249,0
5535,0
19356,0
22467,0
32658,0
22749,0
21416,0
18857,0
36443,0
22668,0
3215,0
39596,0
37845,0
21640,0
8047,0
20876,0
10961,0
21239,0
4691,0
22082,0
22018,0
28811,0
10336,0
11240,0
32129,0
28583,0
40047,0
24651,0
32912,0
25631,0
853,0
41130,1
7211,0
20980,0
10811,0
13901,0
22417,0
34035,0
38077,1
37226,0
39566,1
25753,0
22679,0
20867,0
41087,0
30787,0
7923,0
31891,0
25529,1
17237,0
30184,1
9756,0
38859,0
30573,1
25161,0
37665,1
9693,0
21528,0
27386,0
39531,1
32879,0
7864,0
7096,0
28666,0
6099,0
36500,0
36905,0
11645,0
29611,0
26544,0
14870,0
5269,0
3566,1
36879,0
35122,0
22497,1
29991,0
28510,0
23531,0
14920,0
244,0
1289,0
26689,1
10772,0
10318,0
22763,0
9805,0
3265,0
34479,0
2359,0
31675,0
40170,0
10725,0
25374,0
9625,0
13027,1
1846,0
8059,0
846,0
2349,0
34119,1
21994,0
12668,0
12409,0
2774,0
14618,1
16633,0
34147,0
22288,0
12869,0
24975,0
28118,0
7259,0
13001,0
3165,0
39061,1
34098,0
32168,0
1875,0
541,0
3045,0
28763,0
19976,0
26271,0
19072,0
3683,0
95,0
2496,0
20210,0
15177,0
27337,0
12157,0
5191,0
31616,0
1207,0
15743,0
17421,0
36573,0
10384,0
33701,0
5578,0
2994,0
14540,0
21275,0
29572,0
35653,0
40029,0
4009,0
10788,0
14841,0
26945,0
2064,1
38417,1
22451,0
40427,1
31510,1
14191,0
10773,0
26954,0
18433,0
16407,0
27725,1
16746,0
14034,0
37153,0
15026,0
33620,0
10022,0
4426,0
7761,0
25500,0
19870,0
1004,0
21514,0
28221,0
18079,0
40305,1
643,0
38186,0
33825,0
27738,1
1281,0
35582,0
33445,0
25586,0
29063,0
32695,0
24260,0
15111,0
22746,0
8233,1
5853,0
28420,0
10891,0
13773,0
20560,0
1508,0
6421,0
26758,0
23015,1
9436,0
30407,1
20863,1
31377,0
33983,0
14158,0
22916,0
32025,0
18215,0
33777,0
37163,1
22248,0
5983,0
17247,0
3976,0
4614,0
40730,1
19623,0
6010,0
31888,0
21576,0
27537,0
14295,0
39179,0
15285,0
27380,0
26657,1
40318,0
40504,1
28088,0
29888,0
11014,0
4068,0
37287,1
33556,0
26143,0
16635,1
31404,1
21422,0
24285,0
17584,0
10435,0
34139,0
14756,0
40704,0
30736,0
13370,0
28600,0
3801,0
22809,0
2455,0
24862,0
10461,0
14429,0
39332,0
34746,0
28336,0
8745,0
27837,0
21926,0
14301,0
38233,0
19365,0
22295,0
35099,0
3280,0
36881,0
22429,0
4018,0
7519,0
9082,0
13893,0
31218,0
35544,1
17363,0
23253,0
18895,0
6816,0
18415,0
11515,0
11697,0
21123,0
31710,0
26734,0
35935,0
20748,0
22129,0
9334,0
17825,0
26409,0
18632,0
19459,0
16666,0
19801,0
31315,0
37903,1
24432,0
11403,0
6017,0
29965,0
13732,1
34545,0
11184,0
39860,0
9290,0
39562,0
16545,0
31631,0
26362,0
17200,0
25118,0
7276,0
14042,0
34003,0
33544,0
13006,0
20282,0
28916,0
14041,0
19304,0
10236,0
26785,0
29646,0
11205,0
1668,0
3204,0
5849,0
21955,0
38333,0
25940,0
34087,0
2367,0
31636,0
12687,0
27052,0
40181,0
35744,0
99,0
10960,0
23042,0
24286,0
1350,0
39086,1
9745,0
91,0
5909,0
3419,0
14768,0
38282,1
36251,0
7421,0
31664,0
20833,0
6669,0
38866,1
16449,0
2606,0
1539,0
17433,0
34540,0
6483,0
34949,0
9445,0
15633,0
35756,0
40770,1
11934,0
38019,0
21870,0
39778,0
1920,0
35248,0
38782,1
27368,0
29079,0
13178,0
35999,1
10089,0
15718,0
23921,0
33774,0
36402,0
3270,0
28210,0
32259,0
34941,0
35188,0
30536,0
15394,1
22116,0
22271,0
24102,1
39525,0
7139,0
39923,0
32288,1
3405,0
36785,0
19655,0
2966,0
9372,0
3120,0
14319,0
23818,0
1224,0
15458,0
487,0
19764,0
24190,0
2410,0
27712,0
10589,0
34583,0
38341,0
40713,0
25687,0
5483,0
16159,0
1055,0
28880,0
10880,0
36565,0
12652,0
39792,0
16625,0
28753,0
38081,1
28927,0
41046,1
30620,0
5816,0
24549,0
23014,0
18950,0
6742,0
41083,1
20956,0
28093,0
25619,0
8085,0
1577,0
39907,1
20142,0
20145,0
33231,0
10186,0
32348,1
161,0
38950,0
39471,1
9708,1
17958,0
11114,0
26453,0
26091,0
15672,0
33161,0
20605,0
37497,0
21377,0
9411,0
27210,0
8818,0
2949,0
31132,0
8897,1
24082,0
8918,0
22252,0
5645,0
5085,0
37686,1
29887,0
35664,1
18823,0
30609,0
9653,0
2146,0
28673,0
24382,0
24510,0
8250,0
31144,0
2556,0
34664,0
18222,0
17225,0
19768,0
2401,0
30684,0
17602,0
38579,0
35594,0
9327,0
31010,0
37143,1
576,0
5454,0
12500,0
12854,0
35444,0
12744,0
39639,1
5784,1
30558,0
26543,0
23102,0
19619,0
6531,1
24816,0
3841,0
11137,0
27576,0
16129,0
27942,1
32107,0
5034,0
40360,1
17601,0
21861,0
2529,0
23976,0
25544,0
2537,0
26593,0
281,0
4782,0
30459,1
34904,0
9628,0
12800,0
40311,0
9088,0
22787,0
37158,0
40984,0
30610,1
7926,0
13392,0
15522,0
16961,0
14914,0
30270,1
10859,0
8182,0
10688,0
27963,1
37068,1
31450,0
16133,1
24718,0
14109,0
1702,0
27628,0
2902,0
38889,1
873,0
30644,1
16048,0
39391,0
12052,0
10194,0
37508,0
30483,0
16706,1
25106,0
3611,0
28367,0
10594,0
27476,0
37881,0
15592,0
20449,0
28281,0
9896,0
35233,1
12254,0
37882,1
14014,0
21494,0
23992,0
6496,0
39304,1
38888,0
4903,0
23927,0
28803,0
17265,0
10885,0
21813,0
28500,0
26239,0
22092,0
40805,1
14177,1
15883,0
17531,0
3874,0
17122,0
32313,0
20082,0
40327,0
34989,0
2386,0
18892,0
29000,0
32795,0
2398,0
2726,0
40896,0
32813,0
29863,0
34331,0
13656,0
39530,1
3816,0
14305,0
18665,0
27733,1
22177,0
26352,0
25860,0
30225,0
15461,0
37127,1
37005,1
7121,0
14277,0
16775,0
28375,0
12689,0
16274,0
10212,0
18082,0
9984,0
22958,0
9507,0
7155,0
35679,0
8882,0
16534,0
9883,0
36009,0
6768,0
22872,0
30354,0
1247,0
20912,0
18717,0
35389,0
38088,0
6157,0
17416,0
18847,0
25862,0
12971,1
12617,0
21810,0
10446,0
9358,0
17541,0
22153,0
26499,0
29242,0
9748,0
18610,0
6057,0
3576,1
3887,1
32673,0
16047,0
6732,0
35124,0
372,0
23290,0
1363,0
33488,0
3295,0
20703,0
22539,0
30076,1
26882,0
7489,0
13455,0
24342,0
30690,0
10863,0
32317,1
32637,0
8395,0
5800,0
40989,0
21318,0
9229,0
5210,0
33770,0
27952,1
6506,0
41081,0
13251,0
8617,1
23388,1
38821,1
20986,0
25822,0
6301,0
11351,0
19636,0
29536,0
22150,0
8788,0
1225,0
21568,0
28740,0
11383,0
24796,0
4854,0
14682,0
7671,0
39145,1
37138,0
21099,0
34586,0
39605,1
18687,0
8518,0
34887,1
23650,0
10161,0
25413,0
24637,0
15973,0
15100,0
23875,0
31168,0
38297,0
1180,0
34675,1
32718,0
5227,0
17178,0
16331,0
37859,0
32596,0
19392,0
26615,0
39380,1
16149,1
4820,0
26147,0
3792,0
31988,0
2463,0
4011,0
26513,0
16235,0
22189,0
19306,0
23783,0
7322,0
1230,0
27520,0
24784,0
26769,0
31261,0
17198,0
25595,0
3160,0
40087,0
27188,0
20343,1
21517,0
5039,0
19553,0
19854,0
39800,0
29619,0
3907,0
15826,0
32735,0
30812,0
8557,0
31543,0
16357,0
3782,0
20414,0
22503,0
32855,0
16811,0
36241,1
14679,0
3787,0
14512,0
9184,0
38278,0
7258,0
30395,0
34355,0
16500,0
14775,0
13854,0
22741,0
14814,0
1119,0
17477,0
35804,0
24215,0
25453,0
30546,0
13679,0
1766,0
37295,0
17563,0
40500,0
20000,0
15160,0
10502,0
40218,1
28111,0
23833,0
14834,0
17045,0
9065,0
36058,0
16594,0
5079,0
38606,0
32530,0
1798,0
9453,0
3348,0
36967,0
23727,0
36612,1
12766,1
16691,0
21279,0
17172,0
39585,1
15234,0
37108,1
26577,0
23261,0
16950,0
130,0
20985,0
7476,0
21939,0
12223,0
7400,0
39104,1
14719,0
33849,0
31927,0
3644,0
6277,0
24894,0
40634,0
35486,0
16254,0
11725,0
15686,0
26512,0
22187,0
37625,1
15133,0
40251,1
3661,1
17959,0
7368,0
2360,0
26517,0
32207,0
21002,1
12866,1
11144,0
2883,0
14737,0
19194,0
29294,0
16894,0
30120,1
7394,0
41140,1
24329,0
27432,0
10588,0
7077,0
22871,0
30784,0
39408,1
29056,0
19329,0
22266,0
1132,0
17820,0
14936,0
33381,0
15250,0
28359,0
10977,1
9996,0
35190,0
39558,1
35235,0
28617,0
8456,0
12301,0
31498,0
21534,0
25376,0
26283,0
15833,0
21327,0
11983,0
17270,0
34824,0
2160,0
18255,1
10238,0
8826,1
15942,0
36922,0
2477,0
29900,0
8033,0
7916,0
16561,0
2301,0
5790,0
20519,0
40926,0
20088,0
11430,0
1152,0
2691,0
18271,0
20017,0
7938,0
28197,0
36012,0
40467,1
38320,0
28043,1
2738,0
18445,0
20261,0
6033,0
5238,0
7921,0
19748,1
31615,0
21149,0
17748,0
35030,0
32876,0
26186,0
32812,0
30473,1
18087,0
26045,0
3,0
27114,0
3620,0
22886,0
4256,0
21553,0
12969,0
12912,0
26640,0
23973,0
5097,0
10827,0
15492,0
34275,1
19997,0
8258,0
28643,0
27973,1
5479,0
8391,0
24018,0
40284,1
33228,0
10760,0
408,0
6557,0
4885,0
2004,0
10392,0
28670,0
8116,0
32088,0
36410,1
36338,1
17577,0
28342,0
1243,0
23342,0
41101,1
11810,0
5110,0
32027,0
21204,0
25269,0
18725,0
1407,0
40978,1
25388,0
2669,0
1414,0
10948,0
10524,0
6513,0
26780,0
40220,1
20027,0
20331,0
758,0
24552,0
9823,0
32935,0
13090,0
19419,0
33651,0
4753,0
22789,0
4556,0
25043,0
19422,0
14282,0
26038,0
7650,0
23810,0
5016,0
7010,0
24433,0
2170,0
24748,0
31200,0
31423,0
10939,0
3795,0
13646,0
24634,0
40445,0
14107,0
14172,0
22914,0
30307,0
3802,0
35954,0
12997,0
23965,0
31708,0
18263,1
34193,0
4246,0
29767,1
14741,0
13420,0
39891,1
1897,0
8759,0
37322,0
33731,0
20109,1
14969,0
32822,0
34310,0
20504,0
31074,0
38501,0
28564,0
11409,0
32782,0
5814,0
10118,0
21958,0
32556,0
1586,0
27287,0
12976,0
25826,0
34155,0
12192,0
7525,0
10300,0
31349,0
36194,1
31727,0
6640,0
23491,0
7176,0
34697,0
11985,0
4221,0
30258,0
21560,0
38536,0
5474,0
23226,0
11751,0
8702,0
31614,0
6083,0
23683,0
28013,0
30875,0
20633,0
8222,0
27275,0
35470,0
38495,1
26562,0
13902,0
9757,0
165,0
6251,0
11012,1
12873,0
19610,0
7216,0
10834,0
38539,1
25928,0
9035,0
33629,0
36125,0
35283,0
39863,1
25853,1
19900,0
2408,0
15991,0
8968,0
32230,0
27423,0
17625,0
2805,0
20861,0
22343,0
15692,0
23432,0
10084,0
14893,0
31985,0
35144,0
18799,0
40609,0
36424,1
3066,0
35294,0
11083,0
16944,0
31410,0
1901,0
14122,0
4497,0
32914,0
1122,0
9360,0
24842,0
550,0
1752,0
5714,0
40767,1
21595,0
36494,0
9901,1
31109,0
26039,0
25864,0
3504,0
26900,0
10009,0
40818,0
2441,0
410,0
34151,0
27012,0
30224,0
36805,1
23154,0
29315,0
21255,0
10235,0
17079,0
8830,0
26846,0
5118,0
32409,0
36586,1
2038,0
30004,1
34770,0
13558,0
30925,0
17896,0
4999,0
13538,0
18056,0
4176,0
10276,0
2989,0
8468,0
6278,0
13446,0
2525,0
20166,0
4358,0
633,0
9371,0
20180,0
35152,0
33289,0
3891,0
37699,0
38220,0
36067,0
39472,1
23180,0
15809,0
16581,0
26975,0
20279,0
11449,1
41023,0
4784,0
24418,0
15558,0
31034,0
4239,0
23916,0
23508,0
32535,0
2337,0
11530,0
39012,1
39043,0
30780,0
29047,0
39790,0
3955,0
39632,0
32271,0
15615,0
5439,0
5576,0
3765,0
4749,0
6046,0
36118,0
10770,0
36701,0
20119,0
23663,0
12185,0
2593,0
22592,0
4816,0
4276,0
20272,0
32742,0
24149,0
34864,0
16480,0
22768,0
40511,0
16948,0
11132,0
9369,0
17437,0
6518,0
40552,1
4052,0
20128,0
20382,0
32819,0
2816,0
7783,0
29808,1
20223,0
39255,1
31534,0
31899,0
15736,0
37997,1
5065,0
22842,0
40801,1
34153,0
9990,0
24685,0
13331,0
6972,0
39837,1
28479,0
9447,1
7266,1
5942,0
15864,0
728,0
14055,0
28507,1
11166,0
7529,0
21556,0
21086,0
11460,0
6194,0
19758,0
12446,0
6058,0
22490,0
17971,0
903,0
14311,1
17975,0
29620,0
12611,0
14004,0
31623,0
30223,1
31316,0
29059,0
32369,0
25632,0
20174,0
13785,0
18929,0
28979,1
22313,0
28052,0
16991,0
22053,0
26018,0
14227,0
38232,1
15223,0
12457,0
35643,1
28388,0
10693,0
565,0
33884,1
35061,0
8900,0
528,0
30861,0
3116,0
17540,0
30655,0
19975,0
13840,0
34601,1
406,0
10152,0
39195,1
3185,0
18180,0
7535,0
27732,1
34292,0
18479,0
7893,0
1234,0
39440,1
8680,0
21154,0
33704,1
36281,0
37426,0
18136,0
37231,1
24982,0
39895,0
28439,0
12859,0
19391,0
15997,0
15087,0
26958,0
2874,0
39757,0
18324,0
30613,0
23431,0
25240,0
6509,0
28556,0
35203,0
9049,0
11812,0
2017,0
36858,0
37873,0
39901,0
22614,0
25697,0
20588,0
31133,0
13860,0
3628,1
38624,0
10207,0
18671,0
40550,0
38306,0
11439,0
13937,0
39178,1
19136,0
26257,0
30451,1
12850,0
15959,0
9930,0
39718,1
39844,1
28759,0
40917,0
7915,0
4094,0
547,0
10801,0
4786,0
25569,0
16513,0
35291,0
16964,0
33608,0
9382,0
29906,0
41060,0
8652,0
33271,0
21787,0
35110,0
31046,0
20091,1
37381,0
8219,0
29978,1
32815,0
31537,0
35256,0
39314,1
23579,0
40601,1
34662,0
4646,0
29695,0
10535,0
5561,0
21573,0
34447,0
13907,0
17866,0
30913,0
36712,1
37091,1
23570,0
33728,0
37458,0
38614,0
31064,0
32543,0
9821,0
5627,0
40980,1
37328,0
9105,0
29006,0
6306,0
19151,0
16093,0
9217,0
39322,1
14353,0
15923,0
22115,0
18982,0
8355,1
3032,0
10864,0
1386,0
19030,0
25611,0
13739,0
36450,0
18015,0
23483,0
37306,0
34593,1
38201,0
16389,0
20288,0
14298,0
18018,0
5014,0
38554,1
39490,1
39265,0
13861,0
28222,0
19501,0
10703,0
22837,0
15570,0
8848,0
11266,0
484,0
28482,1
11731,0
27299,0
8413,0
7742,0
10805,0
11322,0
9731,0
40701,1
23307,0
21368,0
20782,0
27191,0
12867,0
35495,0
10970,0
15398,0
14432,0
23363,0
16612,0
34926,0
32239,0
13488,0
35445,0
9178,0
918,0
20724,0
26197,0
40869,1
17065,0
5215,0
31321,0
34259,0
38702,0
36098,0
34437,0
19846,0
33155,0
10532,0
2813,0
5652,1
20962,0
26287,0
1727,0
7401,0
17667,0
1125,0
22173,0
22212,0
24214,1
8076,0
35413,0
21893,0
966,0
15280,0
7906,0
16519,0
27496,0
16629,0
22139,0
13089,0
13841,0
31887,0
28638,0
21134,0
37135,0
30626,0
30571,0
10130,0
19479,0
14490,0
39949,0
18582,0
4222,0
36898,0
2535,0
15662,0
24265,0
40287,1
8751,0
17109,1
10403,0
21932,0
26966,0
33293,0
27158,0
13264,0
38395,1
18251,0
40995,0
6868,0
34913,0
17354,0
25745,0
13184,0
15629,0
35560,0
18899,0
25790,0
30041,1
18546,0
12071,0
22762,0
1966,0
2395,0
31868,0
32249,0
39112,1
19884,0
13580,0
28164,0
16969,0
27654,0
30456,0
10870,0
31995,0
33611,0
31678,0
31049,0
31747,0
19335,0
33760,1
7515,0
18137,0
4149,0
37437,0
6201,0
26354,0
38261,0
5406,0
27204,0
23164,0
33675,0
7545,0
22962,0
23647,0
29265,1
17756,0
6564,0
24031,1
27684,0
13058,0
15050,0
34272,0
22160,0
29997,0
29881,0
27371,0
14231,0
33819,0
19250,0
14236,1
1458,0
19580,0
36121,0
31903,0
847,0
37813,1
426,0
9297,0
26334,0
23831,0
12203,0
25563,0
25470,0
34793,0
29117,0
14200,0
8604,0
14503,0
15599,0
33804,0
16164,0
7807,0
1448,0
18280,1
35959,0
36854,0
39903,0
25948,0
12322,1
23685,0
8290,0
39411,1
38426,1
30408,1
1327,0
7959,0
25360,0
36445,1
8703,0
38182,0
36461,1
22968,0
24054,0
5699,1
7141,0
24835,0
10143,0
40105,1
20766,0
23905,0
32197,0
10209,0
37609,1
37735,0
33270,0
32005,0
37285,0
13606,0
17961,0
41165,1
19653,0
27607,0
24557,0
40250,1
14243,0
25598,0
33131,0
22339,0
39849,1
35801,0
305,0
32585,0
35616,0
1783,0
26008,0
18032,0
7656,0
21505,0
19762,0
33924,0
18574,0
19267,0
39337,1
39823,0
15804,0
13750,0
19753,1
5926,0
22022,0
16708,0
28167,1
19808,0
15616,0
31256,0
27290,0
23104,0
18285,0
38784,0
41094,0
22312,0
30914,0
10751,0
27659,0
2907,0
36539,1
33398,1
3430,0
19831,0
5433,0
32158,0
31882,0
11492,1
7800,0
7360,0
30752,0
7293,0
36182,1
21567,0
7184,0
8123,0
13724,0
26997,0
27910,0
20927,0
22897,0
8568,1
38824,1
11794,0
1559,0
22810,0
14103,1
16958,0
24079,1
15309,0
23219,0
12363,0
34563,0
31007,0
36926,1
11797,0
25461,0
10775,0
24672,0
1666,0
34091,0
25102,0
24585,0
39008,1
9191,0
21129,0
24490,0
31773,0
14098,0
23948,0
24995,0
38138,1
22999,0
30926,0
23088,0
24731,0
4570,0
21562,0
3436,1
26210,0
38469,0
29009,0
21723,0
8207,0
37311,0
26915,0
5733,0
28315,1
20613,0
36248,1
13393,0
30824,0
9025,0
33121,0
2432,0
29672,0
39760,1
29425,0
11636,0
20351,0
40153,1
24376,0
40750,0
6424,0
20834,0
23711,0
5186,0
35265,0
34613,0
14886,0
33663,0
12674,0
26963,0
22107,0
27478,0
12469,0
21855,0
37398,0
16175,0
33821,0
33382,1
9032,0
5148,0
13917,0
10380,0
1376,0
35539,0
30565,1
28373,1
30477,0
32495,1
36515,1
35823,0
24105,0
9216,0
29804,0
38744,1
38959,1
17054,0
20880,0
36951,1
21650,0
26864,0
25665,0
23836,0
6525,0
37835,0
4762,0
26237,0
39465,1
33199,0
8843,0
10623,0
33409,0
787,0
38300,1
658,0
2389,0
40167,1
875,0
8295,0
34685,0
34813,0
34209,0
10695,0
11932,0
12577,0
35652,1
34688,0
35831,0
28578,1
5654,0
30012,0
29217,0
28346,0
6818,0
12317,0
30679,0
15002,0
22716,0
21681,0
14729,1
15268,0
730,0
14170,0
21565,0
36427,0
804,0
25127,0
38388,0
17011,0
31276,0
20842,0
24443,0
19761,0
3351,0
22965,0
39872,0
2972,0
20298,0
32419,0
35531,0
7776,0
21341,0
18456,1
28797,0
33428,0
36950,1
24252,0
16146,0
